Entity,Year,Male_Prevalence,Female_Prevalence
Gabon,2019,3.414068829,4.63619982
Gambia,2016,2.929292941,3.798387021
Gambia,2017,2.941417029,3.80624694
Gambia,2018,2.947694715,3.813382274
Gambia,2019,2.956607139,3.825719429
Georgia,2016,2.014938053,3.224511473
Georgia,2017,2.020465434,3.227852057
Georgia,2018,2.025217347,3.230330643
Georgia,2019,2.032120462,3.233960205
Germany,2016,4.609056699,8.999272852
Germany,2017,4.595674389,8.963443648
Germany,2018,4.598757075,8.962445517
Germany,2019,4.605189856,8.968642594
Ghana,2016,2.649895163,3.440923371
Ghana,2017,2.655564434,3.442731598
Ghana,2018,2.656814209,3.443601618
Ghana,2019,2.655183801,3.443556454
Greece,2016,4.685949887,8.035223804
Greece,2017,4.718925929,8.000358214
Greece,2018,4.694999171,7.957776814
Greece,2019,4.633765226,7.870146283
Greenland,2016,4.051652953,6.617824035
Greenland,2017,4.06320911,6.629258834
Greenland,2018,4.059464344,6.631467686
Greenland,2019,4.046218901,6.630922965
Grenada,2016,3.362594097,5.609792278
Grenada,2017,3.353013461,5.62073497
Grenada,2018,3.354507309,5.625463999
Grenada,2019,3.36055869,5.628952722
Guam,2016,3.247245938,5.183994393
Guam,2017,3.2361554,5.185242235
Guam,2018,3.241041614,5.194971371
Guam,2019,3.255687504,5.213148932
Guatemala,2016,3.330575134,5.408946569
Guatemala,2017,3.345148159,5.413417644
Guatemala,2018,3.345201947,5.418164667
Guatemala,2019,3.336538294,5.423091275
Guinea,2016,2.922392673,3.827621222
Guinea,2017,2.929506092,3.839124695
Guinea,2018,2.930803364,3.837418354
Guinea,2019,2.929212806,3.827735915
Guinea-Bissau,2016,2.716144892,3.543513918
Guinea-Bissau,2017,2.715775916,3.556429828
Guinea-Bissau,2018,2.717711556,3.554211681
Guinea-Bissau,2019,2.721411806,3.542782371
Guyana,2016,3.350267063,5.631656746
Guyana,2017,3.334782273,5.617921578
Guyana,2018,3.341152756,5.627759331
Guyana,2019,3.360090303,5.653044889
Haiti,2016,3.45505834,5.838631528
Haiti,2017,3.447409776,5.857082358
Haiti,2018,3.452323895,5.874012087
Haiti,2019,3.464034071,5.89505234
Honduras,2016,3.190659216,5.175139677
Honduras,2017,3.201106795,5.176334131
Honduras,2018,3.205637085,5.183787949
Honduras,2019,3.207709153,5.197063307
Hungary,2016,2.672739549,4.582239232
Hungary,2017,2.676697316,4.563585277
Hungary,2018,2.672353062,4.570324542
Hungary,2019,2.660757028,4.592261586
Iceland,2016,4.169701309,7.005719942
Iceland,2017,4.174667788,6.993296867
Iceland,2018,4.171676897,6.99767012
Iceland,2019,4.162756303,7.011172068
India,2016,2.50014259,3.752790523
India,2017,2.505622868,3.755849534
India,2018,2.492179497,3.717358028
India,2019,2.458951627,3.631419454
Indonesia,2016,2.684306391,4.63438127
Indonesia,2017,2.686810812,4.646843364
Indonesia,2018,2.692132424,4.659316232
Indonesia,2019,2.70073319,4.676938358
Iran,2016,6.05759152,9.353759172
Iran,2017,5.936242003,9.210613735
Iran,2018,5.935133305,9.224561002
Iran,2019,5.945378436,9.294132156
Iraq,2016,3.854561392,7.379943588
Iraq,2017,3.850592037,7.337774241
Iraq,2018,3.845892075,7.348887912
Iraq,2019,3.836834504,7.383406865
Ireland,2016,5.797325959,9.882498304
Ireland,2017,5.798452072,9.843577983
Ireland,2018,5.724461398,9.73306601
Ireland,2019,5.562301382,9.521162489
Israel,2016,3.163735133,4.916413168
Israel,2017,3.167455447,4.884434333
Israel,2018,3.167906561,4.880178899
Israel,2019,3.167373467,4.88546827
Italy,2016,4.134257498,7.796362203
Italy,2017,4.127045173,7.739769462
Italy,2018,4.120713204,7.74259893
Italy,2019,4.108348651,7.761817932
Jamaica,2016,3.175462773,5.250402324
Jamaica,2017,3.163356377,5.244623408
Jamaica,2018,3.166376531,5.245053917
Jamaica,2019,3.177669334,5.246939117
Japan,2016,2.164458324,2.912579134
Japan,2017,2.16773802,2.9023379
Japan,2018,2.162300848,2.902620129
Japan,2019,2.149251782,2.90758085
Jordan,2016,4.022159918,6.539517389
Jordan,2017,4.015361601,6.538330046
Jordan,2018,4.014576167,6.561498263
Jordan,2019,4.016226307,6.609714221
Kazakhstan,2016,1.721512517,2.705399218
Kazakhstan,2017,1.719499992,2.705260305
Kazakhstan,2018,1.722260493,2.709399941
Kazakhstan,2019,1.728770189,2.717512444
Kenya,2016,2.898855155,4.099834714
